#
# Gaussian Grid N48
# Each record specifies the number of grid points per row in the gaussian 
# grid and also the latitude value of the row
# 
#
#reduced points	regular points	latitude
20	192	88.572169
25	192	86.722531
36	192	84.861970
40	192	82.998942
45	192	81.134977
50	192	79.270559
60	192	77.405888
60	192	75.541061
72	192	73.676132
75	192	71.811132
80	192	69.946081
90	192	68.080991
96	192	66.215872
100	192	64.350730
108	192	62.485571
120	192	60.620396
120	192	58.755209
120	192	56.890013
128	192	55.024808
135	192	53.159595
144	192	51.294377
144	192	49.429154
160	192	47.563926
160	192	45.698694
160	192	43.833459
160	192	41.968220
160	192	40.102979
180	192	38.237736
180	192	36.372491
180	192	34.507243
180	192	32.641994
180	192	30.776744
192	192	28.911492
192	192	27.046239
192	192	25.180986
192	192	23.315731
192	192	21.450475
192	192	19.585219
192	192	17.719962
192	192	15.854704
192	192	13.989446
192	192	12.124187
192	192	10.258928
192	192	8.393669
192	192	6.528409
192	192	4.663150
192	192	2.797890
192	192	0.932630
192	192	-0.932630
192	192	-2.797890
192	192	-4.663150
192	192	-6.528409
192	192	-8.393669
192	192	-10.258928
192	192	-12.124187
192	192	-13.989446
192	192	-15.854704
192	192	-17.719962
192	192	-19.585219
192	192	-21.450475
192	192	-23.315731
192	192	-25.180986
192	192	-27.046239
192	192	-28.911492
180	192	-30.776744
180	192	-32.641994
180	192	-34.507243
180	192	-36.372491
180	192	-38.237736
160	192	-40.102979
160	192	-41.968220
160	192	-43.833459
160	192	-45.698694
160	192	-47.563926
144	192	-49.429154
144	192	-49.429154
144	192	-51.294377
135	192	-53.159595
128	192	-55.024808
120	192	-56.890013
120	192	-58.755209
120	192	-60.620396
108	192	-62.485571
100	192	-64.350730
96	192	-66.215872
90	192	-68.080991
80	192	-69.946081
75	192	-71.811132
72	192	-73.676132
60	192	-75.541061
60	192	-77.405888
50	192	-79.270559
45	192	-81.134977
40	192	-82.998942
36	192	-84.861970
25	192	-86.722531
20	192	-88.572169
