detector	lam_band0	lam_band1	lam_band2	lam_band3	lam_band4	lam_band5	lam_band6	lam_band7	lam_band8	lam_band9	lam_band10	lam_band11	lam_band12	lam_band13	lam_band14
0	412.9363939	442.8060981	490.1319555	510.0704128	559.9470627	619.8565040	664.8296685	681.0786787	708.5872976	753.6298103	761.7662936	778.6686309	865.1357519	885.2040142	900.26
1	412.9308440	442.8005482	490.1264057	510.0648629	559.9415128	619.8509541	664.8241186	681.0731288	708.5817477	753.6242605	761.7607437	778.6630810	865.1302020	885.1984644	900.25
2	412.9252941	442.7949983	490.1208558	510.0593130	559.9359629	619.8454042	664.8185687	681.0675789	708.5761978	753.6187106	761.7551939	778.6575311	865.1246521	885.1929145	900.25
3	412.9197442	442.7894484	490.1153059	510.0537631	559.9304130	619.8398543	664.8130188	681.0620291	708.5706480	753.6131607	761.7496440	778.6519812	865.1191022	885.1873646	900.24
4	412.9141944	442.7838985	490.1097560	510.0482133	559.9248631	619.8343045	664.8074690	681.0564792	708.5650981	753.6076108	761.7440941	778.6464313	865.1135524	885.1818147	900.24
5	412.9086445	442.7783487	490.1042061	510.0426634	559.9193133	619.8287546	664.8019191	681.0509293	708.5595482	753.6020609	761.7385442	778.6408815	865.1080025	885.1762648	900.23
6	412.9030946	442.7727988	490.0986563	510.0371135	559.9137634	619.8232047	664.7963692	681.0453794	708.5539983	753.5965111	761.7329943	778.6353316	865.1024526	885.1707150	900.23
7	412.8975447	442.7672489	490.0931064	510.0315636	559.9082135	619.8176548	664.7908193	681.0398295	708.5484484	753.5909612	761.7274445	778.6297817	865.0969027	885.1651651	900.22
8	412.8919948	442.7616990	490.0875565	510.0260137	559.9026636	619.8121049	664.7852694	681.0342797	708.5428986	753.5854113	761.7218946	778.6242318	865.0913528	885.1596152	900.22
9	412.8864450	442.7561491	490.0820066	510.0204639	559.8971137	619.8065551	664.7797196	681.0287298	708.5373487	753.5798614	761.7163447	778.6186819	865.0858030	885.1540653	900.21
10	412.8808951	442.7505993	490.0764567	510.0149140	559.8915639	619.8010052	664.7741697	681.0231799	708.5317988	753.5743115	761.7107948	778.6131321	865.0802531	885.1485154	900.20
11	412.8753452	442.7450494	490.0709069	510.0093641	559.8860140	619.7954553	664.7686198	681.0176300	708.5262489	753.5687617	761.7052449	778.6075822	865.0747032	885.1429656	900.20
12	412.8697953	442.7394995	490.0653570	510.0038142	559.8804641	619.7899054	664.7630699	681.0120801	708.5206990	753.5632118	761.6996951	778.6020323	865.0691533	885.1374157	900.19
13	412.8642454	442.7339496	490.0598071	509.9982643	559.8749142	619.7843555	664.7575200	681.0065303	708.5151492	753.5576619	761.6941452	778.5964824	865.0636034	885.1318658	900.19
14	412.8586956	442.7283997	490.0542572	509.9927145	559.8693643	619.7788057	664.7519702	681.0009804	708.5095993	753.5521120	761.6885953	778.5909325	865.0580536	885.1263159	900.18
15	412.8531457	442.7228499	490.0487073	509.9871646	559.8638145	619.7732558	664.7464203	680.9954305	708.5040494	753.5465621	761.6830454	778.5853827	865.0525037	885.1207660	900.18
16	412.8475958	442.7173000	490.0431575	509.9816147	559.8582646	619.7677059	664.7408704	680.9898806	708.4984995	753.5410123	761.6774955	778.5798328	865.0469538	885.1152162	900.17
17	412.8420459	442.7117501	490.0376076	509.9760648	559.8527147	619.7621560	664.7353205	680.9843307	708.4929496	753.5354624	761.6719457	778.5742829	865.0414039	885.1096663	900.17
