detector	E0_band0	E0_band1	E0_band2	E0_band3	E0_band4	E0_band5	E0_band6	E0_band7	E0_band8	E0_band9	E0_band10	E0_band11	E0_band12	E0_band13	E0_band14
0	1715.950680680230	1885.025681630340	1930.461686542560	1926.030279821350	1800.863014228000	1650.067330020270	1531.245505150640	1470.971970244170	1406.409833909930	1266.150977584710	1249.921228178340	1176.066307468280	959.100542178660	929.647881259013	895.323756748811
1	1715.944995377240	1884.989446918950	1930.446748563890	1926.047387159910	1800.874952834720	1650.071133413770	1531.247911600600	1470.978267390810	1406.418024118950	1266.150373387230	1249.923154129950	1176.072480452880	959.097666128194	929.648480047025	895.324850079714
2	1715.939303493560	1884.953262068290	1930.431832150300	1926.064480983320	1800.886890804070	1650.074937944770	1531.250314453320	1470.984564833980	1406.426214442260	1266.149769221470	1249.925084734300	1176.078653778020	959.094781064079	929.649083224442	895.325938665036
3	1715.933605012220	1884.917098013850	1930.416950222670	1926.081561309510	1800.898835234320	1650.078742586960	1531.252713707670	1470.990862569280	1406.434401331060	1266.149165091840	1249.927019991990	1176.084827444130	959.091885670407	929.649690789680	895.327022512142
4	1715.927899916230	1884.880954780220	1930.402096274090	1926.098628156390	1800.910771970320	1650.082547811900	1531.255109362490	1470.997163419310	1406.442586571580	1266.148561002780	1249.928959903560	1176.091001451620	959.088982555517	929.650302741128	895.328101628438
5	1715.922188188630	1884.844832391960	1930.387270318010	1926.115681541840	1800.922708057530	1650.086353604850	1531.257501416650	1471.003461731990	1406.450770165800	1266.147956958740	1249.930920765350	1176.097175800920	959.086070409186	929.650919077133	895.329176021374
6	1715.916474851860	1884.808730873580	1930.372472367780	1926.132747400800	1800.934643492090	1650.090159951080	1531.259889869010	1471.009760323790	1406.458952115700	1266.147352964190	1249.932869930280	1176.103354695040	959.083149225593	929.651539796006	895.330245289638
7	1715.910749812840	1884.772650249570	1930.357702436710	1926.149773689850	1800.946578270120	1650.093966835860	1531.262274718440	1471.016059190300	1406.467132423270	1266.146751412590	1249.934823751850	1176.109529742470	959.080218998992	929.652169971969	895.331310258605
8	1715.905018091250	1884.736567407090	1930.342960538050	1926.166786572600	1800.958512387740	1650.097774244500	1531.264654693180	1471.022358327150	1406.475311090460	1266.146147554860	1249.936782230580	1176.115705133260	959.077279723677	929.652799458146	895.332370526831
9	1715.899279670160	1884.700528709430	1930.328252314620	1926.183786066800	1800.970445841120	1650.101582987480	1531.267032257310	1471.028657729920	1406.483491538460	1266.145543760200	1249.938745366950	1176.121880867840	959.074331394001	929.653433322300	895.333426101904
10	1715.893534532710	1884.664510977340	1930.313566657070	1926.200772190200	1800.982381838980	1650.105391440070	1531.269406214900	1471.034957394220	1406.491666913400	1266.144940033080	1249.940713161430	1176.128056946630	959.071369733082	929.654071562622	895.334476991459
11	1715.887782662040	1884.628514235230	1930.298909071790	1926.217744960500	1800.994314005770	1650.109200372620	1531.271776564850	1471.041260109410	1406.499840654210	1266.144336378010	1249.942685614500	1176.134233370050	959.068403276521	929.654714177271	895.335523203143
12	1715.882024041300	1884.592538507420	1930.284279571730	1926.234704395410	1801.006245497010	1650.113009770540	1531.274143306040	1471.047560289570	1406.508012762840	1266.143732799490	1249.944680071730	1176.140410138510	959.065427748945	929.655361164380	895.336564744664
13	1715.876258653660	1884.556583818220	1930.269678169800	1926.251671100110	1801.018176308880	1650.116819619230	1531.276506437380	1471.053860718250	1406.516183241270	1266.143129302030	1249.946661787890	1176.146591838240	959.062443144935	929.656012522047	895.337600361462
14	1715.870483384010	1884.520650191960	1930.255104878840	1926.268603691790	1801.030106437550	1650.120629904130	1531.278865957780	1471.060161391030	1406.524352091450	1266.142525890150	1249.948648165070	1176.152769311240	959.059449459105	929.656668248343	895.338632586461
15	1715.864704415580	1884.484707239760	1930.240559711640	1926.285523002590	1801.042035879190	1650.124440610700	1531.281217271280	1471.066462303520	1406.532519315360	1266.141925338060	1249.950639203660	1176.158947130840	959.056446686149	929.657332153194	895.339660164665
16	1715.858918629720	1884.448815871750	1930.226053064420	1926.302429050080	1801.053964630000	1650.128252047400	1531.283569489590	1471.072763451330	1406.540684914940	1266.141322134760	1249.952634904060	1176.165125297450	959.053434820796	929.657996616467	895.340683103911
17	1715.853126009680	1884.412945637240	1930.211564318560	1926.319321851790	1801.065897584230	1650.132063593120	1531.285918093440	1471.079064830050	1406.548853982590	1266.140719030830	1249.954635266630	1176.171303811500	959.050411451816	929.658665442722	895.341701412078
18	1715.847326538720	1884.377096560400	1930.197103734860	1926.336201425260	1801.077824995350	1650.135875517090	1531.288263081780	1471.085369379600	1406.557016322280	1266.140116030810	1249.956640291740	1176.177482673380	959.047381384253	929.659338629907	895.342715097072
19	1715.841520200130	1884.341268665380	1930.182671325840	1926.353067787940	1801.089751704490	1650.139687804840	1531.290604453520	1471.091671212480	1406.565177043810	1266.139513139280	1249.958667018370	1176.183661883530	959.044342208803	929.660016175934	895.343724166843
20	1715.835706977230	1884.305461976290	1930.168267103900	1926.369948216450	1801.101677707850	1650.143500441940	1531.292942207600	1471.097973263240	1406.573336149130	1266.138910360800	1249.960681315380	1176.189846386060	959.041293920428	929.660698078698	895.344729594361
21	1715.829885712550	1884.269676517190	1930.153891081420	1926.386787983430	1801.113603001650	1650.147313414000	1531.295276342970	1471.104275527500	1406.581493640190	1266.138307699950	1249.962700277050	1176.196026307270	959.038236514141	929.661384336052	895.345729457676
22	1715.824058672130	1884.233883244000	1930.139543270710	1926.403614593560	1801.125527582110	1650.151126706640	1531.297601087130	1471.110578000850	1406.589649518930	1266.137708056970	1249.964723903680	1176.202206578290	959.035169985020	929.662077523887	895.346724729871
23	1715.818224697290	1884.198140378370	1930.125238648300	1926.420428064200	1801.137451445460	1650.154940305490	1531.299927904150	1471.116880678890	1406.597803787290	1266.137105669900	1249.966752195550	1176.208387199520	959.032094328194	929.662772490183	895.347715419036
24	1715.812383771380	1884.162418812710	1930.110947438760	1926.437228412690	1801.149379724630	1650.158754560190	1531.302251099060	1471.123183557220	1406.605960928630	1266.136503414420	1249.968785152950	1176.214568171390	959.029005742055	929.663471804794	895.348701533292
25	1715.806535877850	1884.126718570990	1930.096684477960	1926.454015656350	1801.161302196080	1650.162568765950	1531.304570670820	1471.129486631440	1406.614111964880	1266.135901295140	1249.970822776120	1176.220749494290	959.025911813945	929.664175465476	895.349683080793
26	1715.800681000110	1884.091039677140	1930.082449777880	1926.470789812460	1801.173223939390	1650.166383235050	1531.306886618400	1471.135792593610	1406.622261396880	1266.135299316700	1249.972865065310	1176.226931168640	959.022808743826	929.664883469927	895.350660069726
27	1715.794819121620	1884.055382155070	1930.068243350500	1926.487550898280	1801.185144950840	1650.170197953220	1531.309198940760	1471.142096052130	1406.630409226530	1266.134697483710	1249.974927909770	1176.233118043930	959.019696527069	929.665595815844	895.351632706570
28	1715.788939937500	1884.019746028640	1930.054065207680	1926.504324176410	1801.197065226670	1650.174012906220	1531.311507636910	1471.148399693520	1406.638555455780	1266.134095800820	1249.976979479820	1176.239300435660	959.016575159081	929.666312500876	895.352600604557
29	1715.783064011160	1883.984131321710	1930.039915361230	1926.521058947020	1801.208984763140	1650.177828079830	1531.313808373620	1471.154703513370	1406.646700086550	1266.133496807360	1249.979035717650	1176.245483180380	959.013444635339	929.667032664974	895.353563968812
30	1715.777181034410	1883.948493270400	1930.025793822870	1926.537780700550	1801.220903556520	1650.181643459870	1531.316109735890	1471.161007507290	1406.654843120760	1266.132895463120	1249.981096623460	1176.251666278500	959.010304951373	929.667758025294	895.354522807664
31	1715.771290990780	1883.912921524390	1930.011706380090	1926.554489454130	1801.232825150050	1650.185458434980	1531.318407468630	1471.167311670880	1406.662990816650	1266.132294283120	1249.983162197420	1176.257849730420	959.007155531030	929.668487717863	895.355477129471
32	1715.765393863830	1883.877371267120	1929.997641632480	1926.571185224880	1801.244742499510	1650.189274223330	1531.320701570860	1471.173615999730	1406.671130646020	1266.131693272010	1249.985232439700	1176.264033536550	959.003997509524	929.669221740223	895.356426942636
33	1715.759489637140	1883.841842522320	1929.983605228230	1926.587868029860	1801.256659094990	1650.193090175740	1531.322992041590	1471.179923645070	1406.679268884890	1266.131092434490	1249.987307350430	1176.270217697310	959.000830314720	929.669960089892	895.357372255585
34	1715.753578294330	1883.806335313690	1929.969597178800	1926.604537886140	1801.268574932790	1650.196906278090	1531.325278879840	1471.186228296520	1406.687405535160	1266.130491775230	1249.989403177480	1176.276407095390	958.997653942371	929.670702764361	895.358313076781
35	1715.747658695970	1883.770849664880	1929.955617495570	1926.621221002630	1801.280490009200	1650.200722516340	1531.327562084620	1471.192533100230	1406.695540598750	1266.129891298950	1249.991487374220	1176.282591979570	958.994468388305	929.671449761096	895.359251304170
36	1715.741733074120	1883.735385599510	1929.941666189820	1926.637864793950	1801.292404320520	1650.204538876430	1531.329838951760	1471.198838051780	1406.703674077550	1266.129293515140	1249.993576240880	1176.288777219890	958.991273648395	929.672206466346	895.360183168108
37	1715.735800286970	1883.699909906180	1929.927743272770	1926.654495689130	1801.304317863050	1650.208355344340	1531.332114807570	1471.205143146760	1406.711805973480	1266.128693443330	1249.995669777560	1176.294962816760	958.988069718592	929.672962105672	895.361110565938
38	1715.729860318200	1883.664489132400	1929.913856194940	1926.671113705110	1801.316230633120	1650.212176523480	1531.334387026730	1471.211448380790	1406.719942876880	1266.128093568800	1249.997767984340	1176.301148770580	958.984856594893	929.673722059808	895.362033506266
39	1715.723913151550	1883.629090010680	1929.899990224860	1926.687718858780	1801.328147601700	1650.215993203040	1531.336655608300	1471.217753749460	1406.728071595010	1266.127493896270	1249.999870861270	1176.307335081770	958.981637208387	929.674486326113	895.362951997723
40	1715.717958770780	1883.593712564510	1929.886152677230	1926.704311167010	1801.340058869840	1650.219809948580	1531.338920551310	1471.224062273660	1406.736198736250	1266.126894430500	1250.001978408410	1176.313521750710	958.978405681129	929.675254901921	895.363866048976
41	1715.711997159630	1883.558356817370	1929.872343563000	1926.720890646650	1801.351969354740	1650.223626746180	1531.341181854830	1471.230367903600	1406.744324302490	1266.126295176210	1250.004106504560	1176.319708777820	958.975164948302	929.676027784531	895.364775668720
42	1715.706027516240	1883.523022792720	1929.858562893010	1926.737481908440	1801.363879052760	1650.227443581960	1531.343439517940	1471.236673655160	1406.752448295630	1266.125696138180	1250.006223341790	1176.325897147790	958.971915006150	929.676804971226	895.365681973850
43	1715.700051396080	1883.487710513950	1929.844810678070	1926.754035555800	1801.375787960230	1650.231260442050	1531.345693539660	1471.242979523940	1406.760570717530	1266.125099795580	1250.008344850400	1176.332084904870	958.968655850967	929.677586459249	895.366582759132
44	1715.694067996880	1883.452390418880	1929.831086928870	1926.770576426510	1801.387696073490	1650.235077312610	1531.347940287820	1471.249285505550	1406.768691570100	1266.124501228670	1250.010471030390	1176.338273021630	958.965387479110	929.678380761590	895.367479139259
45	1715.688077302540	1883.417121758140	1929.817385662970	1926.787104537300	1801.399603388890	1650.238894799890	1531.350186944550	1471.255591595580	1406.776815277890	1266.123902892490	1250.012601881730	1176.344461498460	958.962109886997	929.679170849998	895.368371123058
46	1715.682079296940	1883.381874911230	1929.803719015280	1926.803619904850	1801.411513079120	1650.242711688530	1531.352429956870	1471.261897789630	1406.784932979880	1266.123304791830	1250.014737404400	1176.350650335780	958.958821875966	929.679965231655	895.369258719393
47	1715.676073964010	1883.346649901440	1929.790080865530	1926.820122545820	1801.423418842370	1650.246528546340	1531.354669323900	1471.268206973890	1406.793049118450	1266.122706931480	1250.016877598340	1176.356839533970	958.955525829059	929.680763903721	895.370141937171
48	1715.670061287690	1883.311446752040	1929.776471224140	1926.836612476860	1801.435323797100	1650.250345359600	1531.356905044720	1471.274513368180	1406.801163695470	1266.122109316260	1250.019037972900	1176.363029093440	958.952220551494	929.681566863318	895.371020785309
49	1715.664041251960	1883.276265486250	1929.762890101450	1926.853115800150	1801.447227939710	1650.254162114590	1531.359137118430	1471.280819853470	1406.809276712820	1266.121511950970	1250.021187459680	1176.369223424040	958.948906039920	929.682374107545	895.371896957412
50	1715.658018365440	1883.241106127250	1929.749337507700	1926.869580134340	1801.459131266560	1650.257978797640	1531.361365544150	1471.287126425370	1406.817388172330	1266.120914840440	1250.023341618610	1176.375413720540	958.945582291063	929.683185633478	895.372767095515
51	1715.651983564580	1883.205943350280	1929.735813453090	1926.886031809890	1801.471033774020	1650.261795395110	1531.363587366460	1471.293433079470	1406.825498075890	1266.120320494150	1250.025500449610	1176.381604379830	958.942249301707	929.684011015393	895.373632891018
52	1715.645941356280	1883.170827929950	1929.722323795440	1926.902470843320	1801.482935458490	1650.265612775770	1531.365808412860	1471.299739811380	1406.833606425320	1266.119723933410	1250.027663952560	1176.387795402290	958.938907068693	929.684831103488	895.374494352982
53	1715.639891724610	1883.135734483700	1929.708856991420	1926.918897251110	1801.494843549600	1650.269429200600	1531.368025808350	1471.306046616710	1406.841716672170	1266.119127642120	1250.029832127330	1176.393986788310	958.935551605261	929.685655464685	895.375351490496
54	1715.633834653690	1883.100663034590	1929.695418757150	1926.935311049710	1801.506743632300	1650.273245499110	1531.370239552070	1471.312356342340	1406.849821901240	1266.118531625120	1250.032004973810	1176.400178538300	958.932190876499	929.686484095970	895.376204312686
55	1715.627770127640	1883.065613605670	1929.682009102480	1926.951712255530	1801.518642881470	1650.277061657760	1531.372449643180	1471.318663286380	1406.857925582050	1266.117935887290	1250.034194568750	1176.406370652650	958.928820894962	929.687316994291	895.377052828705
56	1715.621698130630	1883.030586219930	1929.668628037240	1926.968100884990	1801.530541293510	1650.280877663020	1531.374656080800	1471.324970290820	1406.866027716440	1266.117340433480	1250.036376708950	1176.412567770940	958.925441657742	929.688154156580	895.377900338735
57	1715.615617991170	1882.995580900320	1929.655275571140	1926.984497446690	1801.542438864820	1650.284693501420	1531.376858864110	1471.331277351270	1406.874128306240	1266.116745268590	1250.038563521430	1176.418760628440	958.922053161993	929.688995579744	895.378740272787
58	1715.609531006360	1882.960564338010	1929.641951713840	1927.000860749420	1801.554335591820	1650.288509159500	1531.379053718140	1471.337584463330	1406.882227353300	1266.116152359150	1250.040755006000	1176.424953851790	958.918655404931	929.689847859808	895.379575928368
59	1715.603436503140	1882.925603270270	1929.628664374000	1927.017211526340	1801.566231470930	1650.292324623820	1531.381249108810	1471.343891622600	1406.890324859430	1266.115557811590	1250.042951162450	1176.431147441360	958.915248383822	929.690697804427	895.380407314764
