band	switch_land	lower_land	upper_land	switch_water	lower_water	upper_water	lam_theo	E0_theo
1	1	1	2	1	1	2	412.5	1713.69
2	1	1	3	1	1	3	442.5	1877.57
3	1	2	4	1	2	4	490	1929.26
4	1	3	5	1	3	5	510	1926.89
5	1	4	6	1	4	6	560	1800.46
6	1	5	7	1	5	7	620	1649.70
7	1	6	9	1	6	9	665	1530.93
8	1	7	8	0	7	9	681.25	1470.23
9	1	9	10	1	8	9	708.75	1405.47
10	1	10	12	1	10	12	753.75	1266.20
11	0	10	12	0	10	12	761.875	1249.80
12	1	10	12	1	10	12	778.75	1175.74
13	1	13	14	1	13	14	865	958.763
14	1	13	14	0	13	14	885	929.786
15	0	13	14	0	13	14	900	895.460

