detector	lam_band0	lam_band1	lam_band2	lam_band3	lam_band4	lam_band5	lam_band6	lam_band7	lam_band8	lam_band9	lam_band10	lam_band11	lam_band12	lam_band13	lam_band14
0	412.9426375	442.8123417	490.1381992	510.0766564	559.9533063	619.8627476	664.8359121	681.0849223	708.5935412	753.6360540	761.7725372	778.6748745	865.1419955	885.2102579	900.2662756
1	412.9412500	442.8109542	490.1368117	510.0752689	559.9519188	619.8613601	664.8345246	681.0835348	708.5921537	753.6346665	761.7711498	778.6734870	865.1406080	885.2088704	900.2648881
2	412.9398625	442.8095667	490.1354242	510.0738815	559.9505313	619.8599727	664.8331372	681.0821474	708.5907663	753.6332790	761.7697623	778.6720995	865.1392206	885.2074829	900.2635006
3	412.9384751	442.8081793	490.1340367	510.0724940	559.9491439	619.8585852	664.8317497	681.0807599	708.5893788	753.6318915	761.7683748	778.6707121	865.1378331	885.2060954	900.2621132
4	412.9370876	442.8067918	490.1326493	510.0711065	559.9477564	619.8571977	664.8303622	681.0793724	708.5879913	753.6305041	761.7669873	778.6693246	865.1364456	885.2047080	900.2607257
5	412.9357001	442.8054043	490.1312618	510.0697190	559.9463689	619.8558102	664.8289747	681.0779850	708.5866039	753.6291166	761.7655999	778.6679371	865.1350581	885.2033205	900.2593382
6	412.9343127	442.8040169	490.1298743	510.0683316	559.9449815	619.8544228	664.8275873	681.0765975	708.5852164	753.6277291	761.7642124	778.6665496	865.1336707	885.2019330	900.2579508
7	412.9329252	442.8026294	490.1284869	510.0669441	559.9435940	619.8530353	664.8261998	681.0752100	708.5838289	753.6263417	761.7628249	778.6651622	865.1322832	885.2005456	900.2565633
8	412.9315377	442.8012419	490.1270994	510.0655566	559.9422065	619.8516478	664.8248123	681.0738226	708.5824415	753.6249542	761.7614375	778.6637747	865.1308957	885.1991581	900.2551758
9	412.9301503	442.7998544	490.1257119	510.0641692	559.9408190	619.8502604	664.8234249	681.0724351	708.5810540	753.6235667	761.7600500	778.6623872	865.1295083	885.1977706	900.2537883
10	412.9287628	442.7984670	490.1243245	510.0627817	559.9394316	619.8488729	664.8220374	681.0710476	708.5796665	753.6221793	761.7586625	778.6609998	865.1281208	885.1963832	900.2524009
11	412.9273753	442.7970795	490.1229370	510.0613942	559.9380441	619.8474854	664.8206499	681.0696601	708.5782790	753.6207918	761.7572751	778.6596123	865.1267333	885.1949957	900.2510134
12	412.9259879	442.7956920	490.1215495	510.0600068	559.9366566	619.8460980	664.8192625	681.0682727	708.5768916	753.6194043	761.7558876	778.6582248	865.1253459	885.1936082	900.2496259
13	412.9246004	442.7943046	490.1201620	510.0586193	559.9352692	619.8447105	664.8178750	681.0668852	708.5755041	753.6180168	761.7545001	778.6568374	865.1239584	885.1922207	900.2482385
14	412.9232129	442.7929171	490.1187746	510.0572318	559.9338817	619.8433230	664.8164875	681.0654977	708.5741166	753.6166294	761.7531126	778.6554499	865.1225709	885.1908333	900.2468510
15	412.9218254	442.7915296	490.1173871	510.0558443	559.9324942	619.8419355	664.8151000	681.0641103	708.5727292	753.6152419	761.7517252	778.6540624	865.1211834	885.1894458	900.2454635
16	412.9204380	442.7901422	490.1159996	510.0544569	559.9311068	619.8405481	664.8137126	681.0627228	708.5713417	753.6138544	761.7503377	778.6526749	865.1197960	885.1880583	900.2440761
17	412.9190505	442.7887547	490.1146122	510.0530694	559.9297193	619.8391606	664.8123251	681.0613353	708.5699542	753.6124670	761.7489502	778.6512875	865.1184085	885.1866709	900.2426886
18	412.9176630	442.7873672	490.1132247	510.0516819	559.9283318	619.8377731	664.8109376	681.0599479	708.5685668	753.6110795	761.7475628	778.6499000	865.1170210	885.1852834	900.2413011
19	412.9162756	442.7859797	490.1118372	510.0502945	559.9269443	619.8363857	664.8095502	681.0585604	708.5671793	753.6096920	761.7461753	778.6485125	865.1156336	885.1838959	900.2399136
20	412.9148881	442.7845923	490.1104498	510.0489070	559.9255569	619.8349982	664.8081627	681.0571729	708.5657918	753.6083046	761.7447878	778.6471251	865.1142461	885.1825085	900.2385262
21	412.9135006	442.7832048	490.1090623	510.0475195	559.9241694	619.8336107	664.8067752	681.0557854	708.5644043	753.6069171	761.7434004	778.6457376	865.1128586	885.1811210	900.2371387
22	412.9121131	442.7818173	490.1076748	510.0461321	559.9227819	619.8322233	664.8053878	681.0543980	708.5630169	753.6055296	761.7420129	778.6443501	865.1114712	885.1797335	900.2357512
23	412.9107257	442.7804299	490.1062873	510.0447446	559.9213945	619.8308358	664.8040003	681.0530105	708.5616294	753.6041421	761.7406254	778.6429627	865.1100837	885.1783460	900.2343638
