detector	E0_band0	E0_band1	E0_band2	E0_band3	E0_band4	E0_band5	E0_band6	E0_band7	E0_band8	E0_band9	E0_band10	E0_band11	E0_band12	E0_band13	E0_band14
0	1715.925041992240	1884.862904014900	1930.394697295640	1926.107154602140	1800.916739688570	1650.084450988700	1531.256303588960	1471.000312011090	1406.446677546040	1266.148259004390	1249.929942647800	1176.094089847930	959.087521965176	929.650613100987	895.328636362898
1	1715.902145526740	1884.718564335860	1930.335620486610	1926.175279629860	1800.964479584490	1650.099678876980	1531.265841970960	1471.025508160400	1406.479400491400	1266.145845690180	1249.937766127700	1176.118793172550	959.075799962438	929.653118578759	895.332895969700
2	1715.879137185250	1884.574571688210	1930.276992923040	1926.243181036950	1801.012210562300	1650.114914916630	1531.275323066510	1471.050710627070	1406.512097187440	1266.143431092420	1249.945668909800	1176.143501164510	959.063930907377	929.655689028010	895.337080223933
3	1715.856018898430	1884.430891327290	1930.218820207370	1926.310868832430	1801.059930772190	1650.130157942080	1531.284741984020	1471.075914991130	1406.544768633790	1266.141020633620	1249.953637416520	1176.168214728290	959.051918585753	929.658333210573	895.341189944431
4	1715.832792890510	1884.287572600720	1930.161093195470	1926.378354645340	1801.107639999030	1650.145407091860	1531.294106022810	1471.101124501020	1406.577414088020	1266.138609814250	1249.961693128620	1176.192935288790	959.039760657098	929.661044028643	895.345226987188
5	1715.809456336660	1884.144579359800	1930.103830085730	1926.445615486430	1801.155339326390	1650.160661716670	1531.303409073110	1471.126335865290	1406.610034519420	1266.136202424040	1249.969806297480	1176.217659008460	959.027455157005	929.663825807595	895.349190025712
6	1715.786001026170	1884.001938193960	1930.047004435570	1926.512678680570	1801.203024624290	1650.175920599780	1531.312656171800	1471.151551691580	1406.642626972410	1266.133796388750	1249.978009932680	1176.242391984620	959.015005318216	929.666674751747	895.353080021901
7	1715.762438196520	1883.859617656880	1929.990637604900	1926.579520148750	1801.250700419340	1650.191182278040	1531.321844990230	1471.176769903050	1406.675198970680	1266.131392941210	1249.986276291260	1176.267127014920	959.002409324411	929.669593078085	895.356897351118
8	1715.738763093820	1883.717658575740	1929.934720788280	1926.646173797710	1801.298360706470	1650.206448315150	1531.330975717670	1471.201990669890	1406.707740881660	1266.128992956560	1249.994625344250	1176.291870196700	958.989667087546	929.672585098231	895.360644636120
9	1715.714974149550	1883.576045546320	1929.879262339520	1926.712600645220	1801.346013719760	1650.221718369940	1531.340049383100	1471.227214395470	1406.740260732350	1266.126594910290	1250.003044779010	1176.316615689520	958.976780710992	929.675643495948	895.364318922317
10	1715.691068998110	1883.434774400550	1929.824250571300	1926.778834106120	1801.393650125430	1650.236986060770	1531.349062682230	1471.252438603670	1406.772752636350	1266.124202177140	1250.011538791730	1176.341367440190	958.963743773260	929.678775825623	895.367922935211
11	1715.667048717280	1883.293867066750	1929.769694924710	1926.844857739290	1801.441275461440	1650.252253704540	1531.358019257800	1471.277666655230	1406.805219424770	1266.121810759790	1250.020111162380	1176.366126443000	958.950558677884	929.681972627015	895.371456693852
12	1715.642912824790	1883.153292199630	1929.715603249270	1926.910677738510	1801.488889103600	1650.267520717650	1531.366915284940	1471.302893962480	1406.837660768660	1266.119425923700	1250.028750375830	1176.390891277180	958.937224713040	929.685245419884	895.374920761796
13	1715.618654313950	1883.013086265980	1929.661966106180	1926.976292834160	1801.536489657910	1650.282785495430	1531.375754576560	1471.328123847950	1406.870077239510	1266.117043487130	1250.037472451280	1176.415663225960	958.923742779907	929.688578647606	895.378317342149
14	1715.594275893350	1882.873217029030	1929.608793311180	1927.041706438160	1801.584075712860	1650.298048598660	1531.384533051030	1471.353353226480	1406.902471116150	1266.114666755830	1250.046257076000	1176.440438742790	958.910116040273	929.691983346806	895.381643756370
15	1715.569776611880	1882.733719869250	1929.556071247580	1927.106926254590	1801.631646551110	1650.313307334080	1531.393253126480	1471.378584723980	1406.934837789730	1266.112294361980	1250.055132578830	1176.465224000940	958.896340066820	929.695451802041	895.384903915022
16	1715.545155586040	1882.594563604810	1929.503824324320	1927.171935643700	1801.679206385600	1650.328561792390	1531.401914369340	1471.403815631880	1406.967183510290	1266.109927340740	1250.064070272890	1176.490011248010	958.882411690380	929.698988025206	895.388094253497
17	1715.520404685640	1882.455766071550	1929.452022639340	1927.236766008030	1801.726749757450	1650.343810121630	1531.410516078290	1471.429046575300	1406.999501524390	1266.107567013510	1250.073090134250	1176.514806566980	958.868338165707	929.702591917238	895.391217661850
18	1715.495536767040	1882.317327634390	1929.400684293500	1927.301380716510	1801.774282224330	1650.359051710620	1531.419061317590	1471.454278274060	1407.031798276030	1266.105211482540	1250.082181023730	1176.539605937620	958.854117393226	929.706262568858	895.394275857868
19	1715.470543631630	1882.179246735930	1929.349806246860	1927.365811478320	1801.821796882590	1650.374287648060	1531.427546560240	1471.479507849730	1407.064069523410	1266.102864042860	1250.091346470690	1176.564413796290	958.839747336761	929.710003793699	895.397269913568
20	1715.445423721680	1882.041544298420	1929.299389663170	1927.430040416330	1801.869299383350	1650.389515892160	1531.435974374870	1471.504739019560	1407.096316720740	1266.100520860110	1250.100590112460	1176.589227782670	958.825230451759	929.713809406288	895.400199109445
21	1715.420174108620	1881.904182690260	1929.249423765000	1927.494075083360	1801.916784758430	1650.404738243560	1531.444339789900	1471.529965902110	1407.128539102790	1266.098187009210	1250.109900723190	1176.614047849250	958.810560750856	929.717685435122	895.403064127135
22	1715.394804092160	1881.767210006050	1929.199924972930	1927.557917044380	1801.964255040860	1650.419949336930	1531.452649463170	1471.555194376120	1407.160737662340	1266.095858482990	1250.119293149610	1176.638873159990	958.795741982959	929.721625157314	895.405863560359
23	1715.369305383040	1881.630590495250	1929.150897198510	1927.621566719820	1802.011713786340	1650.435149824110	1531.460898234690	1471.580418977910	1407.192911900370	1266.093538388530	1250.128752698840	1176.663702631720	958.780773671159	929.725635649429	895.408600187425
24	1715.343673874390	1881.494349434000	1929.102326660240	1927.685031629810	1802.059153364230	1650.450339062130	1531.469087962980	1471.605643115420	1407.225061472500	1266.091226237650	1250.138298670740	1176.688541263210	958.765656971864	929.729709203034	895.411275805927
