band	switch_land	lower_land	upper_land	switch_water	lower_water	upper_water	lam_theo	E0_theo
1	1	1	2	1	1	2	412.5	1713.641724
2	1	1	3	1	1	3	442.5	1877.435669
3	1	2	4	1	2	4	490	1929.325562
4	0	3	5	1	3	5	510	1926.839233
5	0	4	6	1	4	6	560	1800.486328
6	0	5	7	1	5	7	620	1649.709839
7	0	6	9	1	6	9	665	1530.904175
8	0	7	9	0	7	9	681.25	1470.22644
9	0	8	9	1	8	9	708.75	1405.468872
10	0	10	12	1	10	12	753.75	1266.198853
11	0	10	12	0	10	12	761.875	1249.881592
12	0	10	12	1	10	12	778.75	1175.723267
13	0	13	14	1	13	14	865	958.885498
14	0	13	14	0	13	14	885	929.7631836
15	0	13	14	0	13	14	900	895.4086304

