#
# Gaussian Grid N160
# Each record specifies the number of grid points per row in the gaussian 
# grid and also the latitude value of the row
# 
#
#reduced points	regular points	latitude
18	640	89.570090
25	640	89.013176
36	640	88.452974
40	640	87.892028
45	640	87.330801
50	640	86.769438
60	640	86.207998
64	640	85.646511
72	640	85.084993
72	640	84.523454
80	640	83.961900
90	640	83.400334
90	640	82.838759
96	640	82.277177
108	640	81.715590
120	640	81.153998
120	640	80.592403
125	640	80.030805
128	640	79.469204
135	640	78.907601
144	640	78.345996
150	640	77.784389
160	640	77.222782
160	640	76.661172
180	640	76.099562
180	640	75.537951
180	640	74.976339
192	640	74.414727
192	640	73.853113
200	640	73.291499
216	640	72.729885
216	640	72.168270
225	640	71.606655
225	640	71.045039
240	640	70.483423
240	640	69.921806
243	640	69.360189
250	640	68.798572
256	640	68.236955
270	640	67.675337
270	640	67.113719
288	640	66.552101
288	640	65.990483
288	640	65.428865
300	640	64.867246
300	640	64.305627
320	640	63.744008
320	640	63.182389
320	640	62.620770
320	640	62.059151
324	640	61.497532
360	640	60.935912
360	640	60.374292
360	640	59.812673
360	640	59.251053
360	640	58.689433
360	640	58.127813
375	640	57.566193
375	640	57.004573
375	640	56.442953
384	640	55.881332
384	640	55.319712
400	640	54.758092
400	640	54.196471
400	640	53.634851
405	640	53.073230
432	640	52.511610
432	640	51.949989
432	640	51.388368
432	640	50.826748
432	640	50.265127
450	640	49.703506
450	640	49.141885
450	640	48.580264
450	640	48.018643
480	640	47.457022
480	640	46.895401
480	640	46.333780
480	640	45.772159
480	640	45.210538
480	640	44.648917
480	640	44.087296
500	640	43.525675
500	640	42.964054
500	640	42.402432
500	640	41.840811
500	640	41.279190
512	640	40.717569
512	640	40.155947
540	640	39.594326
540	640	39.032705
540	640	38.471083
540	640	37.909462
540	640	37.347841
540	640	36.786219
540	640	36.224598
540	640	35.662976
576	640	35.101355
576	640	34.539734
576	640	33.978112
576	640	33.416491
576	640	32.854869
576	640	32.293248
576	640	31.731626
576	640	31.170005
576	640	30.608383
576	640	30.046762
600	640	29.485140
600	640	28.923518
600	640	28.361897
600	640	27.800275
600	640	27.238654
